HIP,Radeg,Dedeg,Hpmag
10035,32.28888097,-43.51647091,5.9989
10053,32.35535917,25.9399736,5.0654
10054,32.35601833,81.29592802,6.091
10064,32.38550383,34.9873921,3.0625
10111,32.51987576,-43.81555684,6.479
10115,32.53218844,53.84320113,6.4687
10138,32.60000727,-50.82531507,6.2571
10155,32.65642516,19.5004037,5.7378
10176,32.72014119,39.03957804,6.0685
10203,32.80025119,25.93695509,6.1602
10212,32.838177,8.57008269,5.757
10215,32.8426775,-10.05174597,6.0954
10220,32.85416172,31.52642255,6.2779
10227,32.87164328,57.64554795,6.4613
10234,32.89934,-1.82534875,6.0991
10280,33.09301657,30.30321456,5.0791
10296,33.15630064,24.16779345,6.1137
10305,33.19717942,-2.39345966,5.7721
10306,33.19993287,21.21098283,5.3294
10320,33.22691688,-30.72384253,5.2714
10324,33.25004581,8.84675255,4.5172
10326,33.25396804,-21.00023654,6.0303
10328,33.26352155,15.27991058,5.8196
10340,33.305587,44.2316892,4.9716
10350,33.33768837,74.02781026,6.414
10366,33.40008119,51.06623276,5.4642
10403,33.51053634,47.48438752,6.1406
10418,33.56042758,-67.84155184,5.6677
10438,33.62126575,66.52444211,6.1794
10440,33.6331737,-41.16670116,6.0751
10513,33.86899314,-67.74633498,5.828
10535,33.92847662,25.04325525,5.6885
10540,33.94139918,25.78309887,5.888
10559,33.98456267,33.35897589,5.258
10602,34.12708462,-51.51211139,3.5211
10642,34.24578976,-6.42185626,5.6658
10644,34.2600731,34.22482957,4.9831
10670,34.328482,33.84732084,4.0211
10718,34.49925434,57.89980819,5.9172
10723,34.50510965,1.75689966,5.7237
10729,34.51916509,57.51632558,6.1519
10732,34.53144402,19.90116107,5.5924
10793,34.73745335,28.64267405,5.3089
10798,34.74435775,-25.94676781,6.4739
10814,34.79518225,46.47229009,6.2678
10819,34.82019861,47.37998811,5.3248
10826,34.83661105,-2.97706076,4.9898
10871,34.97602802,-55.94484168,5.926
10924,35.17292655,47.3108293,6.1399
10944,35.24238698,50.15154161,5.5474
11001,35.43759554,-68.65942375,4.098
11021,35.48597958,0.39569191,5.3733
11029,35.50600211,-10.77733436,5.5187
11033,35.52073832,-17.66202805,6.0477
11043,35.54875947,-43.19991704,6.4628
11046,35.55169503,-0.88474022,5.5043
11060,35.58930921,55.84565632,5.2722
11072,35.63508769,-23.81631543,5.3187
11090,35.70984185,41.39653474,5.8827
11095,35.71864231,-73.64582093,6.1606
11102,35.72772632,-51.09228914,5.9685
11108,35.73977972,-18.35465998,6.3879
11174,35.96561142,55.36486799,6.4342
11220,36.10372472,50.00663301,5.3524
11231,36.14044419,-40.84072423,6.3057
11249,36.20435262,10.61059805,5.4559
11258,36.22497738,-60.31162904,5.4522
11261,36.24328352,-2.7800148,6.3456
11279,36.3167885,56.6098241,6.33
11293,36.36035099,-66.49402865,6.3164
11313,36.40583751,50.2786658,4.851
11345,36.4875514,-12.29045207,4.8772
11348,36.50156714,-15.34111461,5.9217
11381,36.64651663,-20.04286372,6.0542
11407,36.74627095,-47.70382674,4.2002
11415,36.78023263,27.01257783,6.2645
